Localidades  Isla (Localidades ubicadas en un municipio y que administrativamente pertenecen a otro),,,,,,,,
,,,,,,,,
PERTENENCIA ADMINISTRATIVA,,,,,UBICACIÓN ESPACIAL,,,
CLAVE ENTIDAD,CLAVE MUNICIPIO,CLAVE LOCALIDAD,CLAVE AGEB,NOMBRE DE LOCALIDAD,CLAVE ENTIDAD,CLAVE MUNICIPIO,NOMBRE MUNICIPIO,
20,123,0003,002-7,San Jerónimo Tititlán,20,570,Zimatlán de Álvarez,
20,125,0094,001-7,El Aguacate,20,231,San Lucas Camotlán,
20,125,0099,001-7,Río Canela,20,231,San Lucas Camotlán,
20,141,0085,004-4,Colonia Villanueva,20,143,San Francisco Ixhuatán,
20,141,0099,011-4,Santa Rita (Santa Rita del Mar),20,143,San Francisco Ixhuatán,
20,141,0100,004-4,El Vergel del Maíz,20,143,San Francisco Ixhuatán,
20,143,0063,004-9,Cachimbo,20,141,San Francisco del Mar,
20,154,0003,001-9,La Reforma,20,347,San Sebastián Río Hondo,
20,154,0005,001-9,Extebe,20,347,San Sebastián Río Hondo,
20,156,0009,002-8,Analco (Barrio de Villa Alta),20,128,San Cristóbal Lachirioag,
20,166,0068,002-4,Roberto Olivares Arellano,20,417,Santa María Jacatepec,
20,188,0020,001-7,La Soledad,20,082,San Agustín Chayuco,
20,189,0004,002-9,San Isidro Tres Arroyos,20,460,Santiago Choápam,
20,190,0168,014-2,Arroyo Venado,20,205,San Juan Lalana,
20,198,0025,002-8,Brena Torres,20,207,San Juan Mazatlán,
20,198,0110,002-8,Arroyo Lirio,20,207,San Juan Mazatlán,
20,198,0112,002-8,Nuevo Brena Torres,20,057,Matías Romero Avendaño,
20,198,0113,002-8,Colonia Istmeña el Zapote,20,057,Matías Romero Avendaño,
20,198,0117,013-6,Plan de San Luis,20,057,Matías Romero Avendaño,
20,200,0013,003-2,El Zapote,20,064,Nejapa de Madero,
20,201,0002,001-0,Las Delicias,20,280,Villa Talea de Castro,
20,207,0024,002-9,Doce de Julio,20,057,Matías Romero Avendaño,
20,207,0030,002-9,La Esperanza,20,057,Matías Romero Avendaño,
20,207,0049,007-1,Tierra Nueva,20,057,Matías Romero Avendaño,
20,207,0050,008-6,Lázaro Cárdenas,20,057,Matías Romero Avendaño,
20,207,0079,008-6,La Palestina,20,057,Matías Romero Avendaño,
20,207,0081,002-9,Los Raudales,20,190,San Juan Cotzocón,
20,207,0088,008-6,La Soledad,20,057,Matías Romero Avendaño,
20,207,0089,020-7,Los Valles,20,412,Santa María Guienagati,
20,211,0018,002-1,Cerro de Olla,20,266,San Miguel del Puerto,
20,213,0035,003-0,Atrás del Peñasco,20,272,San Miguel Panixtlahuaca,
20,214,0012,002-3,Santiago Cuasimulco,20,336,San Pedro Yólox,
20,244,0013,001-8,Inspectoría Independencia Guadalupe,20,109,San Antonio Nanahuatípam,
20,259,0007,001-0,Ñihuichi,20,183,San Juan Bautista Tlachichilco,
20,261,0022,001-9,Guadalupe Villahermosa,20,529,Santos Reyes Yucuná,
20,265,0069,002-2,Los Ocotones,20,407,Santa María Chimalapa,
20,266,0121,001-5,Santa Catarina Jamixtepec,20,125,San Carlos Yautepec,
20,273,0014,001-A,El Tecolote,20,108,San Antonio Huitepec,
20,275,0025,002-9,Santa Margarita Huitepec,20,231,San Lucas Camotlán,
20,277,0218,002-3,Chaneque Verde,20,491,Santiago Textitlán,
20,290,0006,001-0,San Pedro Salinas,20,034,Guadalupe de Ramírez,
20,291,0007,003-7,Tamarindo,20,344,San Sebastián Coatlán,
20,298,0008,003-8,Don Pedrillo,20,551,Tlacolula de Matamoros,
20,310,0014,001-5,José Guadalupe Martínez García,20,385,Santa Cruz Xoxocotlán,
20,310,0015,001-5,Juquilita,20,385,Santa Cruz Xoxocotlán,
20,310,0017,001-5,Las Razas,20,385,Santa Cruz Xoxocotlán,
20,324,0235,001-0,Los Naranjos Esquipulas,20,306,San Pedro el Alto,
20,324,0237,019-0,San Pedro Cafetitlán,20,253,San Mateo Piñas,
20,324,0238,019-0,Unión de Guerrero,20,253,San Mateo Piñas,
20,330,0010,001-8,San José Despoblado,20,098,San Andrés Teotilálpam,
20,336,0021,001-1,El Carrizal,20,001,Abejones,
20,339,0027,002-8,Santo Domingo Tlachitongo,20,140,San Francisco Chindúa,
20,388,0019,001-8,La Herradura,20,292,San Pablo Cuatro Venados,
20,392,0043,001-0,El Paraíso Nopalera,20,481,Santiago Nuyoó,
20,397,0105,005-5,Mexicalcingo de los Granados,20,532,Santo Tomás Ocotepec,
20,397,0108,008-9,San Felipe Tindaco,20,297,San Pablo Tijaltepec,
20,397,0109,008-9,San Pedro Yosotatu,20,481,Santiago Nuyoó,
20,397,0110,008-9,Santo Domingo Huendío,20,050,Magdalena Peñasco,
20,397,0114,008-9,Llano de Plaza,20,297,San Pablo Tijaltepec,
20,397,0115,008-9,Loma Aplastado,20,297,San Pablo Tijaltepec,
20,397,0116,008-9,Loma Snuviji,20,297,San Pablo Tijaltepec,
20,397,0117,008-9,El Mogote,20,297,San Pablo Tijaltepec,
20,397,0118,008-9,Nuñuma,20,297,San Pablo Tijaltepec,
20,397,0120,008-9,Yucahua,20,297,San Pablo Tijaltepec,
20,397,0121,008-9,Yucutu,20,297,San Pablo Tijaltepec,
20,397,0122,008-9,Yutendoo,20,297,San Pablo Tijaltepec,
20,403,0011,001-6,El Higo Montes [Paraje],20,083,San Agustín de las Juntas,
20,404,0010,001-3,Río Chiquito,20,523,Santo Domingo Yanhuitlán,
20,406,0038,004-1,Zongolica,20,041,Huautla de Jiménez,
